Name,URL,Description,Seed,A,B,C,Seed,A,B,C
CollegeKhabar,http://www.crunchbase.com/company/collegekhabar,"<p>Collegekhabar.com is an Indian campus placement news channel</p>

<p>Details Regarding facilities and features of collegekhabar.com</p>

<p>Collegekhabar.com will help you in looking for information that best suits your placement needs and provide a distinctive edge in kick starting your career. It is an attempt to bring the placement information for all top institutes of Engineering, Management and other streams on a common platform. It is a portal where news related to placement activities, admission details, events and competitions in educational institutes across India (including IITs, IIMs, NITs and other top engineering and management schools) is updated regularly.</p>

<p>One of the good features of their website is the company pages where students can get knowledge on transition from college life to corporate life. CollegeKhabar.com provides inside information on the companies which might not be available elsewhere.</p>

<p>Another unique feature of their website is the Compare. In this section one can compare the educational institutes in terms of seats available; fees; highest, average and lowest salary package and ranking, thus helping an individual in making an informative decision.</p>

<p>CollegeKhabar also provides detailed placement news, featured college pages, Resource section and Collegekhabar forums. Resource section provides placement papers, help in resume building and article for preparation of interview and GDs. CollegeKhabar forum provide space for asking queries and posting answers.</p>",,,,,//,//,//,//
CollegeNET,http://www.crunchbase.com/company/collegenet,"<p>CollegeNET, Inc. provides web-based on-demand technologies to help colleges, universities, and non-profits save money, improve operational efficiency, and enhance communication.</p>",,,,,//,//,//,//
CollegePost.me,http://www.crunchbase.com/company/collegepost-me,"<p>Created for and by college students, College Post is an online classified ads source for all of a students dorm and collegiate needs. We value simplicity and a user friendly format that allows students to easily buy, sell, and trade goods with other students at their university.</p>",,,,,//,//,//,//
CollegePostings,http://www.crunchbase.com/company/collegepostings,"<p>CollegePostings is an online marketplace for college students providing students an easy way to buy and sell textbooks, find housing and roommates, full-time jobs and internships, and more.</p>",,,,,//,//,//,//
CollegeVolt,http://www.crunchbase.com/company/collegevolt,"<p>CollegeVolt helps startups and new products capture the attention and love of college students. </p>

<p>As the only niche college marketing firm exclusively for startups and new products. It develops, researches, tests, and launches startups to college campuses around North America.  With on the ground teams at select campuses that cover the gambit of demographics, CollegeVolt connects students to startups.  </p>",,,,,//,//,//,//
CollegeWikis,http://www.crunchbase.com/company/collegewikis,"<p>CollegeWikis.com is the leading group messaging and information platform for students by students. Since its launch last year, CollegeWikis has become the group messaging platform of choice for over 50,000 students in more than 200 colleges, with over 600,000 topics. </p>

<p>On CollegeWikis, students can join groups for their school, courses, dorms, and more; then send and follow group messages to peers. Those messages then become wiki-editable pages on the site, providing information that is always accurate and searchable by others. </p>

<p>The original idea for the site came from Founder Joe DiPasquale&#8217;s experience in business school. He told us: &#8220;We had an email list for our class year, through which hundreds of messages were sent per week. But students faced two problems: the absence of group lists that we really wanted, like for our dorm or courses; and all the great content sent out over the list was soon buried in peopleâ€™s email inboxes. CollegeWikis not only provides these groups but also captures their content.&#8221;</p>",2000000.0,,,,10/8/2008,//,//,//
Collegebnb,http://www.crunchbase.com/company/collegebnb,"<p>Collegebnb is a community marketplace for anyone to list or rent unique spaces at any college across the country. Prospective students are able to go beyond the traditional campus tour and stay with a current student of that university. The aim of Collegebnb is to foster a sense of excitement in prospective students while allowing current students to share their enthusiasm for the university. </p>

<p>Alumni and parents are able to rent apartments and other unique space that wouldn&#8217;t otherwise be available. Game day weekends, graduation, alumni picnics, parents weekend and many others are great examples of how anyone can list and rent their space at any college across the country. </p>

<p>Students can make money on weekends that they go home or anytime during the week that they are willing to host someone as an overnight guest.</p>",,,,,//,//,//,//
Collegebread,http://www.crunchbase.com/company/collegebread,"<p>Collegebread is a web application which allows College students to Post anything they are selling on their campus. Students can list clubs and create a page for their club on collegebread.</p>

<p>The goal of collegebread is to make everything on campuses easier to find. Textbooks, hair-cuts, electronics etc&#8230; all from students.</p>",,,,,//,//,//,//
Come Recommended,http://www.crunchbase.com/company/come-recommended,"<p>Come Recommended, LLC, is a career and workplace education and consulting firm specializing in young professionals. Its main product, ComeRecommended.com, is a social networking site for internship and entry-level job candidates and employers to connect and learn about the best practices for todayâ€™s job search. Candidates and employers earn badges by completing tasks and eventually &#8220;come recommended.&#8221;</p>",,,,,//,//,//,//
Communiversity,http://www.crunchbase.com/company/communiversity,"<p>Communiversity is a place for REAL students to share their college experience so that others can EXPLORE and learn what post-high school is really like.</p>

<p>Every school has its own unique community vibe, and the only true way to understand what each entails is to visit- which is expensive. The team at Communiversity strives to modernize the college search experience by offering a resource of honest feedback, comments, pictures and videos about college life from REAL STUDENTS so that prospective students can better know what to expect in higher education.</p>

<p>Prospective students use and interact with this content to gain a better understanding of what college is life is truly like apart from traditional resources available today. Communiversity has aggregated nearly one million pieces of content throughout the web. College related Flickr images and YouTube videos are all displayed on school profiles and updated in dynamic real-time feeds. Application brochures and college websites give only a partial picture, Communiversity fills the gaps with active content for the full flavor. Communiversity is 100% user centric and focuses on current and prospective college students, alumni and parents.</p>

<p>The company was founded in 2008 by Michael Sprague and co-founder Jonathon Gray. Both founders bring a unique combination of technology and business skills, mixed with backgrounds in community websites, web development and architecture, web analytics and social networking.</p>",,,,,//,//,//,//
Commuto,http://www.crunchbase.com/company/commuto,"<p>Commuto is a social community that aims to help college and university students trade their unwanted goods for desired goods with other students in their schools. This service is free and is available to all students worldwide.</p>

<p>As a member you create a profile, post all the items you are looking to trade and add any items you are interested in and Commuto will match your wants to other people&#8217;s needs.  </p>

<p>Members can also create their own community and invite their friends to join. Trading movies, games, books or any other items you may have has never been easier. Once you and the other members have agreed on a trade, you arrange a time and spot to meet in your community where the exchange will take place, be it on your lunch break or in between classes.</p>",,,,,//,//,//,//
Connected Ventures,http://www.crunchbase.com/company/connectedventures,"<p>Connected Ventures is the parent company of the CollegeHumor Network consisting of Big Shocker, Busted Tees, <a href=""/company/CollegeHumor"" title=""CollegeHumor"" rel=""nofollow"">CollegeHumor</a>, Defunker, and <a href=""/company/Vimeo"" title=""Vimeo"" rel=""nofollow"">Vimeo</a>. The network as a whole reaches over 7 million unique visitors and over 200 million pages views per month.</p>

<p>Connected Ventures was acquired by <a href=""/company/IAC"" title=""IAC"" rel=""nofollow"">IAC</a> in August 2006, buying a 51% controlling state.</p>",,,,,//,//,//,//
ConnectwithCoaches,http://www.crunchbase.com/company/connectwithcoaches,"<p>ConnectwithCoaches helps student athletes market themselves for college scholarships.</p>

<p>ConnectwithCoaches provides high school student athletes a professional method to communicate academic and athletic information to college coaches.  ConnectwithCoaches helps high school student athletes market themselves for college scholarships.  We help athletes find scholarships in virtually every sport: baseball, basketball, cross country, diving, football, golf, lacrosse, soccer, softball, swimming, tennis, track, volleyball, wrestling and more. </p>

<p>The student athlete builds their profiles that provide college coaches detailed information to include; contact information, school and academic information, coach contact information, statistical information, photos, and game videos.  With ConnectwithCoaches, student athletes can find, market, and communicate with college coaches.</p>",,,,,//,//,//,//
CoolAvenues,http://www.crunchbase.com/company/coolavenues,"<p>CoolAvenues.com, founded in year 2000 is the largest MBA community network in India.  It is the first portal to create a community for MBA professionals and has been at the forefront of innovation by constantly developing new initiatives to engage with Alumni, Students, Aspirants and Faculty.</p>",,,,,//,//,//,//
Course-Notes.org,http://www.crunchbase.com/company/course-notes-org,"<p>Course-Notes.org provides free chapter outlines for popular AP course textbooks, vocabulary terms, notes, practice quizzes and other materials to high school students to help them augment their studying ability. There is an active forums where students can get help with their homework assignments, debate current events, or just discuss their daily lives. </p>",,,,,//,//,//,//
Coursemodo,http://www.crunchbase.com/company/coursemodo,"<p>Coursemodo is an interactive learning platform designed to empower educators and increase classroom engagement through real-time response tools. With its suite of easy to use apps, Coursemodo allows professors to actively engage all of their students (even the shy ones) through polling, quizzing, announcements and allows students to ask questions through a live question feed.</p>

<p>Currently, that platform includes four key components: a web-enabled application which can be used from any Internet-connected device, including phones, tablets or computers; a polling feature for getting instant feedback from students; a quizzes feature which supports instant grading an export to a teacher’s preferred LMS, and an announcements feature for teacher-student communication which extends outside of course hours through SMS messaging.</p>",,,,,//,//,//,//
Cubic Literals,http://www.crunchbase.com/company/cubic-literals,"<p>Cubic Literals is a platform where talented students &amp; recent graduates find temporary, part-time freelance work online. The motivation for starting Cubic Literals was the lack of opportunities for students and fresh graduates in the world of freelancing,paving way for financial independence. We strongly believe in the earn-while-you-learn way of life</p>",,,,,//,//,//,//
Custom Essay Writing Service,http://www.crunchbase.com/company/custom-essay-writing-service,"<p>Custom Essay offers qualified writing assistance at all levels. Essays, term papers, dissertations and more. Quality monitoring, 24x7 support, suitable web-interface.</p>

<p>Custom Essay offers help with writing for college students. Custom written essays and term papers can be used as the model essays and the great example for your own paper at all levels.</p>",,,,,//,//,//,//
Dailybreak,http://www.crunchbase.com/company/campuslive,"<p>Dailybreak (formerly CampusLIVE) delivers a new form of content that entertains, educates, and challenges consumers while creating value and driving digital social action for brand advertisers. </p>

<p>Dailybreak offers a unique pay-for-performance model for clients, focusing on the growing Cost-Per-Engagement fee structure. Instead of purchasing banner advertisements that result in paid clicks (CPC) or impressions (CPM), Dailybreak only charges for successful &#8220;engagements&#8221; with a sponsoring brand. </p>

<p>Clients include McDonalds, Dunkin Donuts, Microsoft, Budweiser, Ernst &amp; Young, and Converse.</p>",,5000000.0,,,//,7/1/2012,//,//
Design Your Dorm,http://www.crunchbase.com/company/design-your-dorm,"<p>As a virtual 3D dorm room designer, Design Your Dorm is a tool that helps incoming freshman create their future living space and allows them to collaborate with their roommates online. With the simple click of a mouse, college students can drag-and-drop dorm items and accessories into their future room and purchase these selections directly from the DYD website, without ever having to leave the house. </p>",,,,,//,//,//,//
Discus Awards,http://www.crunchbase.com/company/discus-awards,"<p>The Discus Awards program, launched in late October 2009 at www.DiscusAwards.com, is a recognition and scholarship program that honors all-around U.S. high school students for their achievements in at least three out of ten key attributes.  Designed to recognize students for achievements inside and outside the classroom, the ten key attributes students may choose from are academics, arts, athletics, community service, faith, government, green, technology, work, and other achievements.</p>

<p>Discus Awards winners are selected by a panel of teachers, guidance counselors, admissions officers, and other education professionals, and each winner is eligible for a unique portfolio of college scholarships, including the $2,000 National All-Around Student Scholarship awarded every month of the school year.</p>

<p>The Discus Awards is operated by Scholarship Strategies.</p>",,,,,//,//,//,//
Division 1 Movers,http://www.crunchbase.com/company/division-1-movers,"<p>Division 1 Movers is the premier moving and storage company for college students. They are the ideal solution for students looking to move to and from their dorm/apartment. Their full service, easy to use website provides a great experience for consumers and allows potential clients to effortlessly schedule their moving/storage process.</p>",,,,,//,//,//,//
DoesThatMakeSense.com,http://www.crunchbase.com/company/doesthatmakesense-com,"<p>DoesThatMakeSense.com is the leader in online tutoring and homework help for college students. The resources we provide â€” step-by-step homework solutions, book notes, study guides and writing help â€” help our students learn new skills and explore new subjects.</p>",250000.0,,,,9/1/2009,//,//,//
DonateTextbooks.org,http://www.crunchbase.com/company/donatetextbooks-org,"<p>DonateTextbooks.org is always accepting donations of textbooks. Every year millions of trees are cut down for the production of new college and high school textbooks, DonateTextbooks.org helps minimize this destruction by recycling used textbooks. </p>",,,,,//,//,//,//
Dorm Item,http://www.crunchbase.com/company/dorm-item,"<p>DormItem.com was started by Dan Scudder at Babson College and Zack Coburn at Olin College. Scudder and Coburn started DormItem in 2006 as a solution for college students that were frustrated with the lack of a centralized yet regionally focused college classifieds website. DormItem was incubated in the Babson College undergrad hatchery, where they received support from advisors, faculty, and outside professionals.</p>

<p>DormItem was acquired in March of 2008 by CollegeClassifieds.com.</p>",,,,,//,//,//,//
Dorm Mom,http://www.crunchbase.com/company/dorm-mom,"<p>Dorm Mom LLC was established in response to the growing need for time among college students and busy professionals. It has become the leading provider of services to college students and busy professionals all over the United States and Canada, with services available at over 1800 colleges.</p>

<p>The founder of Dorm Mom was a Resident Assistant (RA) in college and has seen the difficulties students face trying to concentrate on studying and at the same time thinking about chores that need to be done. Most students living in university residence halls or off-campus housing live in an unclean and unhealthy environment - dirty clothes strewn across dorm rooms, rooms that have not been vacuumed for weeks and sometimes month. </p>

<p>Dorm Mom LLC offers a diverse range of products and services that makes it attractive to this ever-growing market. The diversification of Dorm Mom&#8217;s services enables it to continually gain profitability when one or two market sector is sub par. The number of colleges and universities Dorm Mom services gives it a strong cross regional customer base. Its reliable, high quality, cost effective product coupled with 24/7 superior customer satisfaction leads to a high customer retention rate and satisfaction.</p>",,,,,//,//,//,//
DormBrain,http://www.crunchbase.com/company/dormbrain,"<p>DormBrain delivers local deals on restaurants, entertainment, services and events each day to college campuses across the county.</p>",,,,,//,//,//,//
DormDuels,http://www.crunchbase.com/company/dormduels,"<p>DormDuels is a website that aims to redefine how college students and companies interact. We define interactions based on user generated content and user interactions on our platform. The DormDuels platform is based on contests that mimic typical college life and persona&#8217;s. </p>

<p>Here at DormDuels our motto is &#8220;Get in &amp; Win&#8221; and by that we mean that we want every user that comes across our site to &#8220;Win&#8221; somehow. This could be something as big as winning a national contest, a local college contest or just getting a great deal on a product.</p>

<p>Contests are determined by votes, which right now is in the form of facebook &#8220;Likes&#8221; with Like buttons. </p>

<p>In the future we will have a much more dynamic website that connects the users to every action they or their friends are doing on DormDuels. College students work hard, and they deserve rewards for it!</p>",,,,,//,//,//,//
DormNoise,http://www.crunchbase.com/company/dormnoise,"<p>DormNoise helps college students manage all aspects of their college social life through a unique calendar system that consolidates personal, student group, and campus events. Upload photos, chat on AIM, and maintain their college relationships in a secure, exclusive environment.</p>",450000.0,500000.0,,,//2008,5/6/2010,//,//
Dormtainment,http://www.crunchbase.com/company/dormtainment,"<p>Dormtainment was created by college students for college students, for college student wannabes, and for those who just know a college student. Dormtainment is an online hang-out spot where you can share laughs, voice your opinions, or just escape from the everyday challenges of life. Dormtainment is FUN! It is the best online college entertainment around, with the funniest skits, the most interesting college-related blogs, and always something new added. Coming soon is an online radio show, contests, even more skits, etc. etc., etc. Youâ€™ll just have to keep logging on to find out whatâ€™s happening in the life of a college student. This is Dormtainment.com. So, take a break from the books. Sit back and prepare to laugh out loud! Oh, by the way, thereâ€™s some quasi-serious stuff, too (so the parents wonâ€™t think youâ€™re totally goofing off). Just Point, Click, and Enjoy!</p>",,,,,//,//,//,//
Dormzy,http://www.crunchbase.com/company/dormzy,"<p>Buy groceries online and have groceries delivered with the Dormzy online grocery store. Shop from hundreds of food products, drinks, &amp; college care packages online.</p>",,,,,//,//,//,//
Dot Schools,http://www.crunchbase.com/company/dot-schools,"<p>Dot Schools is a leading college search tool for student and working professionals to find the college and degree program that is right for them.</p>

<p>Using one of the most advanced filtering tools for college search, Dot Schools narrows down results to the viewer finds the school and degree program is that will suit their needs the best.</p>

<p>In addition to the college search tool, Dot Schools blog provides information and resources for students, parents, and professionals to help them advance their career, continue their education, and excel at college academics.</p>

<p>Dot Schools has options for all types of degrees including bachelor, masters, doctoral, and more.  Plus, viewers can refine their searches into broach categories like business, computer, or art, followed by niche categories within each to find specific degree programs.</p>",,,,,//,//,//,//
Drift Draft,http://www.crunchbase.com/company/drift-draft,"<p>Drift draft provides the service to help college students locate interns and friends while still attending college.</p>

<p>Drift draft is a social networking site focus mainly on the college student audience. Drift drafts primary goal is to facilitate the college life by helping students locate jobs and interns nearby while still attending college. Major companies may upload all help wanted jobs and internships on to our job board. The employer must describe information about the job in question, the position needed, and the location the job is held. Depending on the way the employer describes how to apply, students may upload a resume using drift draft if requested. Employers may keep students updated on jobs and other entail by simply uploading information to blog for all registered students to see. Drift draft also provides the services of interacting students with other students around them and from other campuses nationwide. Drift draft allows students to help one another on homework, quizzes, marketing, roommate searching, projects etc. Drift draft has a groupâ€™s link section for college sports teams and fraternities. You must have a student or company email address to register. I didn&#8217;t want to make drift draft so business oriented and unexciting that students never return, so I provided links to share your favorite music, videos, and photos with other students. The videos can be used for employers to add testimonies, job entail, commercials, etc. Drift draft provides all the needs you may consider stressful as a college student to hopefully grant you more free time to exploit the college life. I like to consider drift draft the facebook on campus. My next assignment is to provide a single section and an apartment searching section to further the concept of making college more exciting and less stressful. I believe Drift draft is the funniest way to get work done as a college student. There is no better way to socialize with college students than using Drift Draft.   </p>",,,,,//,//,//,//
DriftDraft,http://www.crunchbase.com/company/driftdraft,"<p>Drift draft is a social networking site provided to completely facilitate the life of a college student.</p>

<p>Drift draft fulfills all stressful area in an average college studentâ€™s life. If the reason is to escape the pressure of stalking parents on face book, meeting new college buddies around you and from other campuses, or finding a new job to pay through school, drift draft can be of service. By using drift draft students will no longer feel pressured to join neither a dictating organization nor an expensive institute in order to feel confident to receive a job once graduated. I have a theory (If you want a great job, go to college. If you want to be rich, donâ€™t.) Drift draft eliminates the anxiety of wondering if your sacrifice leaving school was a wise decision. Not everyone is fortunate to have roommates that are on the same page as them but the persons you may need could in fact be on campus looking for you. If youâ€™re searching for singles, friendship, tutoring, partnership, internships, homework, drift draft is an inevitable stop for a college student to make. The innovation of using drift draft is only college students with an online campus email may register. That includes junior colleges, double A, Triple a, etc. Companies that are looking to post internships and/or jobs for students may also register with their companies email. Once registered, companies can post help wanted positions by answering the questions listed such as the position, location, hours, etc. on our job board. All registered students will be notified how many jobs are listed on the site and have full access to apply for the job by uploading a resume if requested by employer. Students have their own section to add any openings for employment or new business ventures. Students will not be able to post jobs on the job board. Employers may keep the students updated on jobs or anything job related that the employer feels is important for the student bodies to know by using the updated section that will be posted to the â€œWhatâ€™s newâ€ section. Students can upload pictures, videos, and music using drift draft.  Students can help each other on take home quizzes and help one another study for a quiz using the â€œquizâ€ link. Students also have access to discuss a variety of subject amongst their friends using the multi-blog link provided. Drift draft has a hand full of activities in order to give you a reason to remain in college or gives you a reason to leave if an opportunity approaches. I have several of campus emails that assure all students will have full access to using drift draft. My goal is to stop the madness and suicide from our youth and finally go through college stress free. Drift draft is a win-win for college students regardless of their needs and that includes no more flyers to read or no more using of the career center. Drift draft does it all and more. I sure hope you see my vision and help me to reach my goal.</p>",,,,,//,//,//,//
EASYUNI,http://www.crunchbase.com/company/easyuni,"<p>Founded in 2008 and based in Kuala Lumpur, Malaysia, EASYUNI is a search engine and directory of universities and colleges worldwide. The website features rich content, student reviews, photos, and videos.</p>

<p>With close to 400 universities and colleges and over 30,000 programs in 20 countries, EASYUNI is the biggest player in South East Asia.</p>",,,,,//,//,//,//
EMAS Pro,http://www.crunchbase.com/company/emas-pro,"<p>Education Systems, Inc. (ESI) provides customizable, solution-oriented, higher education enrollment management software and &#8220;best practices&#8221; consultative services.</p>

<p>For more than ten years, ESI has been solely focused on providing universities, colleges, and community colleges with unsurpassed enrollment management software. </p>

<p>Recruiting and enrolling the right prospective students while effectively and strategically managing financial aid delivery is an increasing challenge for colleges and programs today. Competition is fierce. Colleges and universities continue searching for ways to lower costs and increase their effectiveness to enroll the &#8220;right&#8221; students. Since 1969 Education Systems and our earlier corporate organizations, American College Testing and Information &amp; Communications, Inc., have directly served over 300 colleges and universities across America and Canada. </p>",,,,,//,//,//,//
Edarabia.com,http://www.crunchbase.com/company/edarabia-com,"<p>Edarabia.com is the regionâ€™s largest education site; founded in 2005 (formerly known as IQEA.org)</p>

<p>With over 9,000 web listings, the site attracts thousands of visitors daily and covers the entire Middle East and North Africa region, including Algeria, Bahrain, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Morocco, Palestine, Oman, Qatar, Saudi Arabia, Syria, Tunisia, Turkey, UAE and Yemen. It can be viewed online in almost 30 different languages, has a presence on all major social networks including Facebook, Twitter, Youtube, Foursquare and is accessible on iPhone, Blackberry &amp; other handheld devices.</p>

<p>It has become a trusted source in the education industry where visitors can find the latest industry news, upcoming events, job listings, research updates, add ratings &amp; reviews and engage with others in the community forum. Edarabia visitors are affluent, experienced and are very likely to use the Internet in making comparisons between institutions and are highly influenced by user reviews &amp; ratings.</p>",,,,,//,//,//,//
EduERP Software,http://www.crunchbase.com/company/eduerp-software,"<p>EduERP is a comprehensive Institute management solution for Schools and Colleges. EduERP is an education/training governance system that takes care of administration, infrastructure &amp; logistic system of an educational organization whether it is a School, College, University or Training Institute. EduERP allows users to store almost all of their information electronically, including information of students, teaching staff, admin staff, etc. Most importantly, this information can be easily shared with authorized users and records can be easily searched. Reports pertaining to the records can be easily generated.</p>

<p>EduERP is a real time web-based fully integrated software works on-line using WAN &amp; LAN technology. One can access the information anytime from anywhere. Some of the modules covered in EduERP are Student Management, Academic Activities, Management Activities, Other Essential Activities, and Communication etc.</p>",,,,,//,//,//,//
Educationload,http://www.crunchbase.com/company/educationload,"<p>Educationload is a news website for the educational, &#8216;open access&#8217; and &#8216;access to knowledge&#8217; sector. It has regular updates and stories as well as advice for teachers and anyone involved in the academic area. </p>

<p>The site is run and maintained by Nicholas MacGowavon von Holstein, who also co-founded twidox.com, and is featured as a resource blog on the Creative Commons website. </p>",,,,,//,//,//,//
Emantras,http://www.crunchbase.com/company/emantras,"<p>Emantras is a digital learning firm with a presence in US, Europe and Asia. It is headquartered in California and has key development centers in Chennai and Gurgaon, India. One of the earlier firms to pioneer in elearning and build an expertise in it, Emantras has been in the business for 9 plus years now.</p>

<p>It works actively with educational institutions in US, both k12 and higher education, corporate /enterprise sectors on training and elearning initiatives in Europe and Asia.</p>

<p>Apart from courseware/content development, Emantras actively engages itself in building proprietary educational tools to facilitate effective learning. They have also ventured into animation and gaming since 2009.</p>

<p>Emantras has over 350 plus employees combined and is growing steadily with time.</p>",,,,,//,//,//,//
Engrade,http://www.crunchbase.com/company/engrade,"<p>Engrade Unifies Education. Engrade integrates people, tools, data, and curriculum in schools on one user-friendly platform.</p>

<p>Engrade was founded in 2003 with a single mission: to help teachers. Beginning with an online gradebook to improve communication and student performance, Engrade has since developed a suite of analytical and collaboration tools for classrooms, schools, and districts.</p>

<p>Engrade’s user-friendly and intuitive tools have spread organically, reaching over 400,000 teachers. Engrade has an integration-friendly architecture which enables data from multiple external sources to merge together seamlessly and is accessible via web, mobile, and tablet devices.</p>",,,,,//,//,//,//
EqualApp,http://www.crunchbase.com/company/equalapp,"<p>EqualApp is an online admissions counseling program proven to get students admitted to the colleges of their choice - at a fraction of the cost of a college consultant. </p>

<p>EqualApp&#8217;s award-winning program takes a blended learning approach, combining an innovative online platform of lessons, tools and community features with personalized 1-on-1 counseling provided by a team of former college admissions officer and college student mentors. </p>

<p>Hundreds of EqualApp students have been admitted to more than 125 colleges.</p>",,,,,//,//,//,//
Exceleratr,http://www.crunchbase.com/company/exceleratr,"<p>exceleratr.com is a website designed to help motivated students find opportunities outside the HS classroom that will help them as students, and as people in their post-high school careers.</p>

<p>Exceleratr hosts internships, academic and non-academic programs in a broad array of subjects/fields. </p>

<p>Now, more than ever, competition in both college admissions and the job world is super tight. Getting into college and even finding a job is not getting any easier, and grades are meaning less and less in the eyes of admissions officers and hiring managers. Students are being asked to do more than do well on tests, but what more can they do?</p>

<p>Experience outside the classroom is becoming a necessary component to success after high school. Exceleratr is here to help the student find the opportunity thats right for them and that will help them excelerate their future.</p>",,,,,//,//,//,//
Eyes On Campus,http://www.crunchbase.com/company/eyes-on-campus,"<p>Eyes On Campus is a guide to campus life.  It delivers information online at no charge.</p>

<p>Eyes on Campus is broken down into an academic and social section.  The academic component includes information regarding campus tours and facilities, student culture, and classes.  The social section encompasses campus hotspots, restaurants, transportation, and lodging.  </p>

<p>In order to accommodate both factual and opinionated content, the academic and social sections of Eyes On Campus are portioned into overview and â€œstudent reviewâ€ components.  The overview sections allow users to integrate their perspectives in a single comprehensive document that is easy to edit and update through the wiki interface.  Meanwhile, the user review section utilizes the star-rating model employed by sites such as Amazon.com. </p>",,,,,//,//,//,//
